tweet_text,image_path,labels
this lil nigga wanna snatch his chains so bad,dataset\images\117.jpg,"[1, 1, 0]"
stupid cunt dcfc nffc,dataset\images\118.jpg,"[0, 0, 0]"
the most backward twat ever,dataset\images\119.jpg,"[0, 0, 0]"
i cant wait for this nigga to drop,dataset\images\120.jpg,"[0, 0, 0]"
i used to fw this one guy ex and he said how my dick taste my nigga,dataset\images\121.jpg,"[0, 0, 0]"
no nigga no problem,dataset\images\122.jpg,"[0, 0, 1]"
this nigga is aggressive,dataset\images\123.jpg,"[0, 0, 0]"
surrender,dataset\images\124.jpg,"[0, 0, 0]"
ok retard,dataset\images\125.jpg,"[5, 0, 5]"
a young nigga still got a ways to go but pubertychallenge,dataset\images\126.jpg,"[1, 0, 0]"
julias asked if im taking my excersize bike to london da feck she trying to say daft bint,dataset\images\127.jpg,"[2, 5, 2]"
pps for the saturday hambo18 race card are now posted playbigm harnessracing,dataset\images\128.jpg,"[0, 0, 0]"
satanists are retarded,dataset\images\129.jpg,"[4, 5, 5]"
because i look like a quote stank ass cunt your eyes work yeah,dataset\images\130.jpg,"[2, 1, 0]"
can these sjw just drag demi and no one else she doesnt do anything other than body shame and attack taylor,dataset\images\131.jpg,"[0, 0, 0]"
this nigga lmaodick,dataset\images\132.jpg,"[0, 0, 0]"
hes such a little twat,dataset\images\133.jpg,"[5, 0, 0]"
is there any way i can get rid of these retarded boxes on my twitter feed tired of seeing them,dataset\images\134.jpg,"[5, 0, 0]"
lil nigga better be standing like that lmao,dataset\images\135.jpg,"[0, 0, 0]"
nigga,dataset\images\136.jpg,"[0, 3, 0]"
nowplaying bob naga good nigger sticker circle radio,dataset\images\137.jpg,"[0, 1, 1]"
any nigga in my situation would have been fold eso,dataset\images\138.jpg,"[0, 0, 0]"
instead of calling me a fucking wanker cunt after walking into me how about you try looking where youre going,dataset\images\139.jpg,"[0, 2, 5]"
is a fucking retard,dataset\images\140.jpg,"[0, 5, 0]"
i love arse and cunt,dataset\images\141.jpg,"[2, 0, 3]"
i shoot to kill nigger,dataset\images\142.jpg,"[5, 1, 1]"
ill surgery you you cunt,dataset\images\143.jpg,"[0, 0, 0]"
now streaming julie andrews dick van dyke at,dataset\images\144.jpg,"[3, 0, 0]"
this is truth maga kag benghazineverforget voteredtosaveamerica buildthewall,dataset\images\145.jpg,"[5, 0, 0]"
this nigga said she look like she eats left amp right overs lmfaooooooo,dataset\images\146.jpg,"[0, 0, 0]"
nigga how tf you gonna kick them off stage you cant even get it,dataset\images\147.jpg,"[0, 0, 0]"
my nigga,dataset\images\148.jpg,"[0, 0, 0]"
picked up the coolest tequila miniatures from cdg airport duty free might make some redneck margaritas with them,dataset\images\149.jpg,"[0, 0, 0]"
